Project,Language,Identifier Type,Identifier Name
Autofac,C#,class,KeylessSimpleSharedInstanceLambdaBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,CommandHandlerDecoratorOne
Autofac,C#,variable,builder
Autofac,C#,class,Command
Autofac,C#,class,CommandHandlerDecoratorOne
Autofac,C#,function,CommandHandlerDecoratorOne
Autofac,C#,class,CommandHandlerDecoratorTwo
Autofac,C#,function,CommandHandlerDecoratorTwo
Autofac,C#,class,CommandHandlerOne
Autofac,C#,class,CommandHandlerTwo
Autofac,C#,class,GenericCommandHandlerDecorator
Autofac,C#,function,GenericCommandHandlerDecorator
Autofac,C#,class,GenericCommandHandlerOne
Autofac,C#,class,GenericCommandHandlerTwo
Autofac,C#,class,ICommandHandler
Autofac,C#,class,ICommandHandler
Autofac,C#,class,DelegateRegisterGenerator
Autofac,C#,function,Initialize
Autofac,C#,function,Execute
Autofac,C#,function,GenerateExtensionMethodClass
Autofac,C#,function,StringBuilder
Autofac,C#,function,GenerateExtensionMethod
Autofac,C#,function,ArgumentNullException
Autofac,C#,function,GenerateDelegateInvokers
Autofac,C#,function,StringBuilder
Autofac,C#,function,GenerateDelegateInvokerWithComponentContext
Autofac,C#,function,GetDelegateParameters
Autofac,C#,function,ResolveWithDelegate
Autofac,C#,function,GenerateDelegateInvoker
Autofac,C#,function,GetDelegateParameters
Autofac,C#,function,ResolveWithDelegate
Autofac,C#,function,GetTypeParamList
Autofac,C#,function,StringBuilder
Autofac,C#,function,WriteTypeConstraints
Autofac,C#,function,WriteTypeParamDocs
Autofac,C#,function,WriteResolveWithParametersOrRegistrationCalls
Autofac,C#,function,WriteResolveCalls
Autofac,C#,variable,classDeclarations
Autofac,C#,variable,m
Autofac,C#,variable,syntax
Autofac,C#,variable,symbol
Autofac,C#,variable,null
Autofac,C#,variable,m
Autofac,C#,variable,firstSyntax
Autofac,C#,variable,sb
Autofac,C#,variable,cref
Autofac,C#,variable,argCount
Autofac,C#,variable,delegateGenericTypeList
Autofac,C#,variable,methodGenericTypeList
Autofac,C#,variable,name
Autofac,C#,variable,name
Autofac,C#,variable,name
Autofac,C#,variable,delegateInvoker
Autofac,C#,variable,sb
Autofac,C#,variable,argCount
Autofac,C#,variable,delegateGenericTypeList
Autofac,C#,variable,_delegate
Autofac,C#,variable,delegateGenericTypeList
Autofac,C#,variable,_delegate
Autofac,C#,variable,sb
Autofac,C#,variable,argPos
Autofac,C#,variable,argPos
Autofac,C#,variable,argPos
Autofac,C#,variable,name
Autofac,C#,variable,argPos
Autofac,C#,variable,argPos
Autofac,C#,class,ContainerBuilder
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,MessageHandler
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,ComponentRegistryBuilder
Autofac,C#,function,DefaultRegisteredServicesTracker
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,RegisterCallback
Autofac,C#,function,DeferredCallback
Autofac,C#,function,RegisterBuildCallback
Autofac,C#,function,ArgumentNullException
Autofac,C#,function,BuildCallbackService
Autofac,C#,function,Autofac
Autofac,C#,function,Update
Autofac,C#,function,Build
Autofac,C#,function,SelfComponentRegistration
Autofac,C#,function,Build
Autofac,C#,function,Container
Autofac,C#,function,UpdateRegistry
Autofac,C#,function,Build
Autofac,C#,function,ArgumentNullException
Autofac,C#,function,InvalidOperationException
Autofac,C#,function,RegisterDefaultAdapters
Autofac,C#,function,CollectionRegistrationSource
Autofac,C#,function,OwnedInstanceRegistrationSource
Autofac,C#,function,MetaRegistrationSource
Autofac,C#,function,LazyRegistrationSource
Autofac,C#,function,LazyWithMetadataRegistrationSource
Autofac,C#,function,StronglyTypedMetaRegistrationSource
Autofac,C#,function,GeneratedFactoryRegistrationSource
