dev_username,followers,NoC,AB,NAB,CII,CNII,CE,NCE,INEI,IEI,AddLGM,DelLGM,ChurnLGM,NoMGM,AddLOC,DelLOC,churnLOC,AddF,DelF,AddSAM,DelSAM,ChurnSAM,DiP,ICT,project,job
41a12c200d56050eb895d2d99cc5b040,5994,1218,334.0,2147.0,718.0,1763.0,907.0,1574.0,276.0,35.0,506.0,447.0,59.0,16.0,64359.0,1544.0,62815.0,1080.0,657.0,0.0,0.0,0.0,5846.036365740741,54.86466523499049,spring-social,SSE
55529f9dfc7aeea27df6547af3b336ad,54,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
e57a318a62b9696c4bf768be05240331,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
221727cb6c8780106a9fba88b7ccb869,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
fdc2e4cfc1dbccefda1596d8c377ebc7,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
c54c2a76c0ed1ce959298d83bdf6e468,78,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,582.9519675925926,291.4759837962963,spring-social,UNKNOW
d7a0c95c376794b3bef6bcedad74e101,38,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
2f9f0ec82ab6a822ad86cb2cd34e0d25,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
c0318861912d3132bdc8f330771da6e8,38,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,36.0,48.0,0.0,0.0,0.0,0.0,0.0,15.821064814814816,7.910532407407408,spring-social,UNKNOW
e9277775db002292bcd63554b0da9a1e,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
5be8b91b8bde293523b59141b91260e2,78,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
ffc77e54131395e2bff3f6a7c8cd4ad0,1368,68,4.0,44.0,16.0,32.0,14.0,34.0,0.0,8.0,3.0,4.0,-1.0,0.0,941.0,327.0,614.0,8.0,2.0,0.0,0.0,0.0,1658.5757638888888,66.63984635263571,spring-social,SSE
aa9ff0e9ca74f49d1cd19ae5a34bab6b,20,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,1521.615925925926,760.807962962963,spring-social,UNKNOW
e50b4db1538e0226daeb2532a402d51c,34,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,282.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,29.51662037037037,7.379155092592592,spring-social,UNKNOW
392bea8ca02a0378c7219d9c389b6f64,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
